timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353366.7404659,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.7504833,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.7604592,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.770433,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.7803974,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.791334,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.801308,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.811279,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.821253,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.8312905,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.8412247,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.8511698,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.861147,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.8711686,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.881132,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.8911035,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.9010816,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.9110537,-58.40699979112029,1.2109999999999999,70.73087674704666,190.0
1748353366.9210286,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.9306893,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.9406593,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.950596,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.960576,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.9705503,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.9810565,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353366.9911838,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353367.001199,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353367.0111332,-48.65127198660041,1.2467000000000001,60.653540785694744,185.0
1748353367.0211444,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.0311189,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.041054,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.0510237,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.060576,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.0709362,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.0804586,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.0905857,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.100704,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.1112106,-20.392178216859033,1.2586,25.66559550373878,183.0
1748353367.1206207,0.0,1.2586,0.0,183.0
1748353367.1311893,0.0,1.2586,0.0,183.0
1748353367.1411428,0.0,1.2586,0.0,183.0
1748353367.1515253,0.0,1.2586,0.0,183.0
1748353367.1607208,0.0,1.2586,0.0,183.0
1748353367.1708243,0.0,1.2586,0.0,183.0
1748353367.180764,0.0,1.2586,0.0,183.0
1748353367.1907327,0.0,1.2586,0.0,183.0
1748353367.2011514,0.0,1.2586,0.0,183.0
1748353367.2111151,0.0,1.2586,0.0,183.0
1748353367.2210875,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.2310636,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.2410343,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.251007,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.2611108,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.2712867,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.28145,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.290484,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.3004434,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.3108397,29.418504118338824,1.2467000000000001,36.676049084333016,186.0
1748353367.321341,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.3312778,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.3413002,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.3512254,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.3612354,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.3712096,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.381179,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.391156,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.4011292,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.4110951,40.70815802627301,1.2109999999999999,49.29757936981661,190.0
1748353367.421032,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.4316552,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.4406245,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.450453,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.4607604,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.4707592,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.4814641,58.410660031612444,1.1753,68.6500487351541,196.0
1748353367.6504202,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.6604946,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.6709445,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.6808803,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.6908927,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.700863,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.711041,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
